Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/11/16 00:00:00;2023/11/16 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23181;PARC PAYSAGER;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.4;1.36667;µg-m3;100.0;100;100.0;R;1;47.273056;-2.223056
2023/11/16 00:00:00;2023/11/16 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23249;CAME;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.2;1.2;µg-m3;100.0;100;100.0;R;1;47.3210778;-2.127322
2023/11/17 00:00:00;2023/11/17 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23001;AMPERE;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.5;0.475;µg-m3;100.0;100;100.0;A;1;47.324097;-2.081567
2023/11/17 00:00:00;2023/11/17 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23003;LA MEGRETAIS;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;7.5;7.45;µg-m3;100.0;100;100.0;A;1;47.322706;-2.039244
2023/11/17 00:00:00;2023/11/17 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23004;PASTEUR;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;-1.0;-0.975;µg-m3;29.0;100;29.0;N;-1;47.317284;-2.073306
2023/11/17 00:00:00;2023/11/17 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23068;FROSSAY;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.8;0.775;µg-m3;100.0;100;100.0;R;1;47.24747;-1.936619
2023/11/17 00:00:00;2023/11/17 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23069;SAVENAY;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.6;0.6;µg-m3;100.0;100;100.0;R;1;47.36075;-1.95475
2023/11/17 00:00:00;2023/11/17 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23070;S ETIENNE DE MONTLUC;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;2.0;2.025;µg-m3;100.0;100;100.0;R;1;47.28318;-1.783164
2023/11/17 00:00:00;2023/11/17 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23149;CUTULLIC2;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.7;0.675;µg-m3;100.0;100;100.0;R;1;47.286114;-2.032289
2023/11/17 00:00:00;2023/11/17 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23178;PARSCAU DU PLESSIS;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;19.0;19.025;µg-m3;100.0;100;100.0;R;1;47.319157;-2.066953
2023/11/17 00:00:00;2023/11/17 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23181;PARC PAYSAGER;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.7;1.65;µg-m3;100.0;100;100.0;R;1;47.273056;-2.223056
2023/11/17 00:00:00;2023/11/17 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23249;CAME;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.1;1.075;µg-m3;100.0;100;100.0;R;1;47.3210778;-2.127322
2023/11/18 00:00:00;2023/11/18 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23001;AMPERE;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.2;0.15;µg-m3;100.0;100;100.0;A;1;47.324097;-2.081567
2023/11/18 00:00:00;2023/11/18 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23003;LA MEGRETAIS;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;29.0;29.0;µg-m3;100.0;100;100.0;A;1;47.322706;-2.039244
2023/11/18 00:00:00;2023/11/18 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23004;PASTEUR;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.4;1.375;µg-m3;96.0;100;96.0;R;1;47.317284;-2.073306
2023/11/18 00:00:00;2023/11/18 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23068;FROSSAY;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.5;0.5;µg-m3;100.0;100;100.0;R;1;47.24747;-1.936619
2023/11/18 00:00:00;2023/11/18 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23069;SAVENAY;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.1;1.075;µg-m3;100.0;100;100.0;R;1;47.36075;-1.95475
2023/11/18 00:00:00;2023/11/18 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23070;S ETIENNE DE MONTLUC;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.7;1.65;µg-m3;100.0;100;100.0;R;1;47.28318;-1.783164
2023/11/18 00:00:00;2023/11/18 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23149;CUTULLIC2;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.2;0.225;µg-m3;100.0;100;100.0;R;1;47.286114;-2.032289
2023/11/18 00:00:00;2023/11/18 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23178;PARSCAU DU PLESSIS;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;117.6;117.575;µg-m3;100.0;100;100.0;R;1;47.319157;-2.066953
2023/11/18 00:00:00;2023/11/18 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23181;PARC PAYSAGER;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.2;1.2;µg-m3;100.0;100;100.0;R;1;47.273056;-2.223056
2023/11/18 00:00:00;2023/11/18 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23249;CAME;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.5;0.45;µg-m3;100.0;100;100.0;R;1;47.3210778;-2.127322
2023/11/19 00:00:00;2023/11/19 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23001;AMPERE;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.4;0.35;µg-m3;100.0;100;100.0;A;1;47.324097;-2.081567
2023/11/19 00:00:00;2023/11/19 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23003;LA MEGRETAIS;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.2;1.2;µg-m3;100.0;100;100.0;A;1;47.322706;-2.039244
2023/11/19 00:00:00;2023/11/19 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23004;PASTEUR;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;3.4;3.375;µg-m3;100.0;100;100.0;R;1;47.317284;-2.073306
2023/11/19 00:00:00;2023/11/19 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23068;FROSSAY;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.5;0.46667;µg-m3;100.0;100;100.0;R;1;47.24747;-1.936619
2023/11/19 00:00:00;2023/11/19 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23069;SAVENAY;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.0;1.0;µg-m3;100.0;100;100.0;R;1;47.36075;-1.95475
2023/11/19 00:00:00;2023/11/19 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23070;S ETIENNE DE MONTLUC;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.7;1.66667;µg-m3;100.0;100;100.0;R;1;47.28318;-1.783164
2023/11/19 00:00:00;2023/11/19 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23149;CUTULLIC2;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.2;0.175;µg-m3;100.0;100;100.0;R;1;47.286114;-2.032289
2023/11/19 00:00:00;2023/11/19 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23178;PARSCAU DU PLESSIS;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;4.6;4.575;µg-m3;100.0;100;100.0;R;1;47.319157;-2.066953
2023/11/19 00:00:00;2023/11/19 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23181;PARC PAYSAGER;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.1;1.06667;µg-m3;100.0;100;100.0;R;1;47.273056;-2.223056
2023/11/19 00:00:00;2023/11/19 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23249;CAME;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;2.1;2.05;µg-m3;100.0;100;100.0;R;1;47.3210778;-2.127322
2023/11/20 00:00:00;2023/11/20 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23001;AMPERE;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.3;0.25;µg-m3;100.0;100;100.0;R;1;47.324097;-2.081567
2023/11/20 00:00:00;2023/11/20 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23003;LA MEGRETAIS;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.0;1.025;µg-m3;100.0;100;100.0;R;1;47.322706;-2.039244
2023/11/20 00:00:00;2023/11/20 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23004;PASTEUR;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;2.4;2.375;µg-m3;96.0;100;96.0;R;1;47.317284;-2.073306
2023/11/20 00:00:00;2023/11/20 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23068;FROSSAY;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.4;0.35;µg-m3;100.0;100;100.0;R;1;47.24747;-1.936619
2023/11/20 00:00:00;2023/11/20 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23069;SAVENAY;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.4;0.35;µg-m3;83.0;100;83.0;R;1;47.36075;-1.95475
2023/11/20 00:00:00;2023/11/20 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23070;S ETIENNE DE MONTLUC;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;-0.5;-0.53333;µg-m3;100.0;100;100.0;R;1;47.28318;-1.783164
2023/11/20 00:00:00;2023/11/20 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23149;CUTULLIC2;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.7;1.65;µg-m3;100.0;100;100.0;A;1;47.286114;-2.032289
2023/11/20 00:00:00;2023/11/20 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23178;PARSCAU DU PLESSIS;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;4.0;4.0;µg-m3;100.0;100;100.0;R;1;47.319157;-2.066953
2023/11/20 00:00:00;2023/11/20 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23181;PARC PAYSAGER;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.3;1.25;µg-m3;100.0;100;100.0;R;1;47.273056;-2.223056
2023/11/20 00:00:00;2023/11/20 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23249;CAME;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.4;1.36667;µg-m3;100.0;100;100.0;R;1;47.3210778;-2.127322
2023/11/21 00:00:00;2023/11/21 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23001;AMPERE;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.3;0.325;µg-m3;100.0;100;100.0;A;1;47.324097;-2.081567
2023/11/21 00:00:00;2023/11/21 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23003;LA MEGRETAIS;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.2;0.175;µg-m3;100.0;100;100.0;A;1;47.322706;-2.039244
2023/11/21 00:00:00;2023/11/21 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23004;PASTEUR;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.6;0.63333;µg-m3;88.0;100;88.0;R;1;47.317284;-2.073306
2023/11/21 00:00:00;2023/11/21 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23068;FROSSAY;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.3;1.3;µg-m3;100.0;100;100.0;R;1;47.24747;-1.936619
2023/11/21 00:00:00;2023/11/21 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23069;SAVENAY;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;-0.2;-0.2;µg-m3;100.0;100;100.0;R;1;47.36075;-1.95475
2023/11/21 00:00:00;2023/11/21 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23070;S ETIENNE DE MONTLUC;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;-0.4;-0.425;µg-m3;100.0;100;100.0;R;1;47.28318;-1.783164
2023/11/21 00:00:00;2023/11/21 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23149;CUTULLIC2;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;2.6;2.575;µg-m3;100.0;100;100.0;R;1;47.286114;-2.032289
2023/11/21 00:00:00;2023/11/21 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23178;PARSCAU DU PLESSIS;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;3.1;3.1;µg-m3;100.0;100;100.0;R;1;47.319157;-2.066953
2023/11/21 00:00:00;2023/11/21 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23181;PARC PAYSAGER;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.9;0.9;µg-m3;100.0;100;100.0;R;1;47.273056;-2.223056
2023/11/21 00:00:00;2023/11/21 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23249;CAME;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;2.3;2.33333;µg-m3;92.0;100;92.0;R;1;47.3210778;-2.127322
2023/11/22 00:00:00;2023/11/22 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23001;AMPERE;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.0;0.0;µg-m3;100.0;100;100.0;A;1;47.324097;-2.081567
2023/11/22 00:00:00;2023/11/22 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23003;LA MEGRETAIS;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;-0.1;-0.05;µg-m3;100.0;100;100.0;A;1;47.322706;-2.039244
2023/11/22 00:00:00;2023/11/22 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23004;PASTEUR;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.7;0.725;µg-m3;100.0;100;100.0;R;1;47.317284;-2.073306
2023/11/22 00:00:00;2023/11/22 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23068;FROSSAY;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.2;0.2;µg-m3;100.0;100;100.0;R;1;47.24747;-1.936619
2023/11/22 00:00:00;2023/11/22 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23069;SAVENAY;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;-0.1;-0.1;µg-m3;100.0;100;100.0;R;1;47.36075;-1.95475
2023/11/22 00:00:00;2023/11/22 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23070;S ETIENNE DE MONTLUC;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.3;1.275;µg-m3;100.0;100;100.0;R;1;47.28318;-1.783164
2023/11/22 00:00:00;2023/11/22 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23149;CUTULLIC2;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.1;0.075;µg-m3;100.0;100;100.0;R;1;47.286114;-2.032289
2023/11/22 00:00:00;2023/11/22 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23178;PARSCAU DU PLESSIS;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.8;1.8;µg-m3;100.0;100;100.0;R;1;47.319157;-2.066953
2023/11/22 00:00:00;2023/11/22 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23181;PARC PAYSAGER;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.1;1.125;µg-m3;100.0;100;100.0;R;1;47.273056;-2.223056
2023/11/22 00:00:00;2023/11/22 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23249;CAME;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;2.6;2.6;µg-m3;100.0;100;100.0;R;1;47.3210778;-2.127322
2023/11/23 00:00:00;2023/11/23 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23001;AMPERE;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.0;0.0;µg-m3;96.0;100;96.0;R;1;47.324097;-2.081567
2023/11/23 00:00:00;2023/11/23 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23003;LA MEGRETAIS;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;-0.1;-0.125;µg-m3;100.0;100;100.0;R;1;47.322706;-2.039244
2023/11/23 00:00:00;2023/11/23 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23004;PASTEUR;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.5;0.5;µg-m3;100.0;100;100.0;R;1;47.317284;-2.073306
2023/11/23 00:00:00;2023/11/23 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23068;FROSSAY;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.4;0.375;µg-m3;100.0;100;100.0;R;1;47.24747;-1.936619
2023/11/23 00:00:00;2023/11/23 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23069;SAVENAY;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.0;0.975;µg-m3;100.0;100;100.0;R;1;47.36075;-1.95475
2023/11/23 00:00:00;2023/11/23 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23070;S ETIENNE DE MONTLUC;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.1;1.1;µg-m3;100.0;100;100.0;R;1;47.28318;-1.783164
2023/11/23 00:00:00;2023/11/23 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23149;CUTULLIC2;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.3;0.275;µg-m3;100.0;100;100.0;R;1;47.286114;-2.032289
2023/11/23 00:00:00;2023/11/23 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23178;PARSCAU DU PLESSIS;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.2;1.175;µg-m3;96.0;100;96.0;R;1;47.319157;-2.066953
2023/11/23 00:00:00;2023/11/23 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23181;PARC PAYSAGER;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.1;1.1;µg-m3;100.0;100;100.0;R;1;47.273056;-2.223056
2023/11/23 00:00:00;2023/11/23 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23249;CAME;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.7;1.725;µg-m3;100.0;100;100.0;R;1;47.3210778;-2.127322
2023/11/24 00:00:00;2023/11/24 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23001;AMPERE;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.1;0.1;µg-m3;100.0;100;100.0;A;1;47.324097;-2.081567
2023/11/24 00:00:00;2023/11/24 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23003;LA MEGRETAIS;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.1;0.05;µg-m3;100.0;100;100.0;A;1;47.322706;-2.039244
2023/11/24 00:00:00;2023/11/24 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23004;PASTEUR;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.9;0.9;µg-m3;100.0;100;100.0;R;1;47.317284;-2.073306
2023/11/24 00:00:00;2023/11/24 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23068;FROSSAY;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.6;0.575;µg-m3;100.0;100;100.0;R;1;47.24747;-1.936619
2023/11/24 00:00:00;2023/11/24 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23069;SAVENAY;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.0;1.0;µg-m3;100.0;100;100.0;R;1;47.36075;-1.95475
2023/11/24 00:00:00;2023/11/24 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23070;S ETIENNE DE MONTLUC;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.7;0.675;µg-m3;100.0;100;100.0;R;1;47.28318;-1.783164
2023/11/24 00:00:00;2023/11/24 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23149;CUTULLIC2;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.4;0.375;µg-m3;100.0;100;100.0;R;1;47.286114;-2.032289
2023/11/24 00:00:00;2023/11/24 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23178;PARSCAU DU PLESSIS;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;3.1;3.075;µg-m3;100.0;100;100.0;R;1;47.319157;-2.066953
2023/11/24 00:00:00;2023/11/24 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23181;PARC PAYSAGER;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.4;1.35;µg-m3;100.0;100;100.0;R;1;47.273056;-2.223056
2023/11/24 00:00:00;2023/11/24 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23249;CAME;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.3;1.3;µg-m3;100.0;100;100.0;R;1;47.3210778;-2.127322
